id;PartID;Contact1;Contact2;first;x1;y1;x2;y2;popx1;popy1;popx2;popy2;hint1;hint1 EN;hintX1;hintY1;hint2;hint2 EN;hintX2;hintY2;name;sliderX;sliderY;;;;SCALED_WIDTH из popbodypart.h;;;;;;;;;;
10;7;RT10;RT11;1;300;215;295;295;56;79;56;236;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см правее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the right;56;113;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;90;203;m.erector spine dextra;34;102;;;;;50;70;50;210;50;100;70;70;80;180
11;7;RT11;RB8;1;295;295;290;380;56;236;56;439;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;90;203;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;90;360;m.erector spine dextra;34;282;;;;;50;210;50;390;80;180;30;91;80;320
12;10;LT1;LT8;0;800;405;790;330;833;450;731;124;3b - электрод расположен на уровне перехода брюшка в сухожильную часть длинной ладонной мышцы (m.palmaris longus), лучевого сгибателя запястья (m.flexor carpi radialis), поверхностного сгибателя пальцев (m.digitorum superfacialis), брюшка  глубокого сгибателя пальцев (venter m.flexor digitorum profundus), локтевого сгибателя запястья (m.flexor carpi  ulnaris), по средней линии на 4 -4,5 см выше борозды лучезапястного сустава;3b - the electrode is located at the level of the abdominal transition to the tendon part of the long palmar muscle (m.palmaris longus), the radial flexor of the wrist (m.flexor carpi radialis), the superficial flexor of the fingers (m.digitorum superfacialis), the abdomen of the deep flexor of the fingers (venter m. flexor digitorum profundus), ulnar flexor of the wrist (m.flexor carpi ulnaris), along the middle line 4 -4.5 cm above the furrow of the wrist;304;203;3a - электрод расположен в области  брюшка лучевого сгибателя запястья (venter m.flexor carpitis radialis), брюшка поверхностного сгибателя пальцев (m.digitorum superfacialis), брюшка глубокого сгибателя пальцев (venter m.flexor digitorum profundus) по средней линии на 2-3 см ниже локтевой ямки;3a - the electrode is located in the area of the abdomen of the radial flexor of the wrist (venter m.flexor carpitis radialis), the abdomen of the superficial flexor of the fingers (m.digitorum superfacialis), the abdomen of the deep flexor of the fingers (venter m.flexor digitorum profundus) below the ulnar fossa;304;203;m.palmaris longus;608;232;;;;;740;400;650;110;270;180;30;251;270;180
13;8;LT14;LT15;0;780;220;790;290;720;68;776;450;1a - электрод расположен на проксимальной части короткой головки  двуглавой мышцы плеча (caput breve m.bicepitis brachii) в месте ее перехода в сухожилие (tendo caput breve m.bicepitis brachii) по средней линии на 1 - 1,5 см ниже борозды, образованной дельтовидной мышцей и двуглавой мышцей плеча);1a - the electrode is located on the proximal part of the short head of the biceps brachii at the site of its transition to the tendon (breasts of the tendon caput breve m.bicepitis brachii) along the midline 1-1.5 cm below the furrow formed by the deltoid muscle and biceps arm muscle);304;101;1b - электрод расположен на дистальной части брюшка двуглавой мышцы плеча ((venter) m.bicepitis brachii) в месте перехода ее в сухожилие (tendo m.bicepitis brachii) по средней линии на 1-1,5 см выше локтевой ямки (fossa cubitalis);1b - the electrode is located on the distal part of the abdomen of the biceps brachii) at the site of its passage into the tendon (tendo m.bicepitis brachii) along the middle line 1-1.5 cm above the fossa cubitalis (fossa cubitalis);304;281;m.biceps brachii sinistra;;;;;;;640;60;690;400;270;90;540;206;270;250
14;14;LT16;LT11;0;800;185;715;190;855;203;506;326;2a - электрод расположен на дистальной части брюшка дельтовидной мышцы (venter m.deltoideus) по средней линии в фронтальной плоскости на 2-2,5 см выше ее дистальной части;2a - the electrode is located on the distal part of the abdomen of the deltoid muscle (venter m.deltoideus) along the midline in the frontal plane 2-2.5 cm above its distal part;304;90;2b - электрод расположен в области проксимальной части брюшка большой грудной мышцы (mm.pectoralis major), на 1-1,5 см ниже медиального края ключицы и на 1,1,5 кнаружи от левого латерального края грудины;2b - the electrode is located in the proximal part of the abdomen of the large pectoral muscle (mm.pectoralis major), 1-1.5 cm below the medial edge of the clavicle and 1,1,5 outside of the left lateral edge of the sternum;304;360;anterior part m.deltoideus sinistra;;;;;;;760;180;450;290;270;80;;;270;320
15;12;LT11;LT9;0;715;190;725;145;518;439;585;186;2b - электрод расположен в области проксимальной части брюшка большой грудной мышцы (mm.pectoralis major), на 1-1,5 см ниже медиального края ключицы и на 1,1,5 кнаружи от левого латерального края грудины;2b - the electrode is located in the proximal part of the abdomen of the large pectoral muscle (mm.pectoralis major), 1-1.5 cm below the medial edge of the clavicle and 1,1,5 outside of the left lateral edge of the sternum;304;315;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;304;219;m.sternocleidomastoideus sinistra;;;;;;;460;390;520;165;270;280;;;270;195
16;6;LT10;LB12;0;710;285;710;400;495;169;495;405;4a - электрод расположен в верхней части прямой мышцы живота (m.rectus abdominis) в области диафрагмы на 3-4 см ниже ее и на 1,5 - 2 см латеральнее средней линии живота;4a - the electrode is located in the upper part of the rectus abdominis muscle (m.rectus abdominis) in the diaphragm area 3-4 cm below it and 1.5-2 cm lateral to the midline of the abdomen;304;203;4b - электрод расположен в  нижней части прямой мышцы живота (m.rectus abdominis)  на 2-3 см латеральнее средней линии живота и на 3-4 см выше горизонтальной линии, проведенной через верхние передние ости подвздошной кости (spina iliaca anteror superior dextra et sinistra);4b - the electrode is located at the bottom of the rectus abdominis muscle (m.rectus abdominis) 2-3 cm lateral to the midline of the abdomen and 3-4 cm above the horizontal line drawn through the superior anterior vertexes of the ilium (spina iliaca anteror superior dextra et sinistra);304;248;sinistra part m.rectus abdominis;;;;;;;440;150;440;360;270;180;;;270;220
17;10;LT3;LT2;1;140;405;160;335;90;439;124;124;3d - электрод расположен  на уровне перехода брюшка в сухожильную часть локтевого разгибателя запястья  (m.extensor carpi ulnaris), лучевого разгибателя запястья (m.extensor carpi radialis), разгибателя пальцев (m.extensor digitorum) по средней линии на 3-4 см выше лучезапястного сустава;3d – the electrode is located at the level of the abdominal transition to the tendon part of the elbow extensor of the wrist (m.extensor carpi ulnaris), the radius of the extensor of the wrist (m.extensor carpi radialis), the extensor of the fingers (m.extensor digitorum) wrist joint;90;203;3c - электрод расположен в  области  брюшка локтевого разгибателя запястья (m.extensor carpi ulnaris), разгибателя пальцев (m.extensor digitorum)  по средней линии в 3-4 см ниже локтевого отростка;3c - the electrode is located in the abdomen of the elbow extensor of the wrist (m.extensor carpi ulnaris), the extensor of the fingers (m.extensor digitorum) along the midline 3-4 cm below the elbow;124;203;m.extensor carpi ulnaris;34;226;;;;;80;390;110;110;80;180;;;110;180
18;8;LT4;LT13;1;170;205;160;300;191;73;113;484;1c - электрод расположен в области брюшка длинной головки трехглавой мышцы плеча (caput longum m.tricepitis brachii) по средней линии, чуть кнутри на 1 - 1,5 см ниже борозды, образованной длинной головкой трехглавой мышцы плеча и задней частью дельтовидной мышцы;1c - the electrode is located in the abdomen of the long head of the triceps muscle of the shoulder (caput longum m.tricepitis brachii) along the middle line, slightly inside 1 to 1.5 cm below the furrow formed by the long head of the triceps brachii muscle and the posterior part of the deltoid muscle;191;107;1d - электрод расположен в области сухожилия трехглавой мышцы плеча (tendo m.tricepitis brachii) по средней линии на 2-3 см выше локтевого отростка;1d - the electrode is located in the tendon region of the triceps brachium muscle (tendo m.tricepitis brachii) along the midline 2-3 cm above the elbow;113;338;m.triceps brachii sinistra;;;;;;;170;65;100;430;170;95;30;201;100;300
19;14;LT7;LT16;1;245;215;150;175;405;90;191;34;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см левее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the left;304;124;2a - электрод расположен на дистальной части брюшка дельтовидной мышцы (venter m.deltoideus) по средней линии в фронтальной плоскости на 2-2,5 см выше ее дистальной части;2a - the electrode is located on the distal part of the abdomen of the deltoid muscle (venter m.deltoideus) along the midline in the frontal plane 2-2.5 cm above its distal part;191;68;m.latissimus dorsi;113;68;;;;;360;80;170;30;270;110;;;170;60
20;12;LT7;LT9;1;245;215;230;140;349;478;304;186;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см левее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the left;304;315;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;304;219;m.trapezius sinistra;;;;;;;310;425;270;165;270;280;100;60;270;195
21;6;LT7;LT6;1;245;215;245;295;394;79;394;236;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см левее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the left;304;113;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;304;270;m.erector spine sinistra;;;;;;;350;70;350;210;270;100;;;270;240
22;6;LT6;LB9;1;245;295;250;380;394;236;394;439;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;304;270;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;304;281;m.erector spine sinistra;;;;;;;350;210;350;390;270;240;;;270;250
23;12;LT4;LT9;1;170;205;230;140;135;439;304;186;1c - электрод расположен в области брюшка длинной головки трехглавой мышцы плеча (caput longum m.tricepitis brachii) по средней линии, чуть кнутри на 1 - 1,5 см ниже борозды, образованной длинной головкой трехглавой мышцы плеча и задней частью дельтовидной мышцы;1c - the electrode is located in the abdomen of the long head of the triceps muscle of the shoulder (caput longum m.tricepitis brachii) along the middle line, slightly inside 1 to 1.5 cm below the furrow formed by the long head of the triceps brachii muscle and the posterior part of the deltoid muscle;169;315;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;304;219;m.trapezius sinistra;;;;;;;120;390;270;165;150;280;;;270;195
24;3;RB6;RB16;0;615;400;635;530;743;68;776;484;5a - электрод расположен в  месте крепления портняжной мышцы бедра (m.sartorius) к  верхней передней ости подвздошной кости справа (spina iliaca anteror superior dextra) ниже на 2 см  и в области крепления четырехглавой мышцы бедра (m.quadriceps femoris, m.rectus femoris) к нижней передней ости подвздошной кости справа (spina iliaca anteror inferior dextra);5a - the electrode is located at the point of attachment of the sartorius muscle of the femur (m.sartorius) to the superior anterior superiority of the ilium on the right (spina iliaca anteror superior dextra) 2 cm below and in the area of the quadriceps femoris (m.quadriceps femoris, m.rectus femoris ) to the inferior anterior asteroid iliac bones on the right (spina iliaca anteror inferior dextra);304;101;7b - электрод расположен в месте перехода дистальной  части брюшков четырехглавой мышцы бедра (m.quadriceps femoris) в сухожилие по средней линии выше надколенника на 1/3 длины бедра;7b - the electrode is located at the junction of the distal part of the abdomen of the quadriceps femoris (m.quadriceps femoris) in the tendon at the midline above the patella by 1/3 of the thigh length;304;304;m.quadriceps femoris, m.rectus femoris dextra;;;;;;;660;60;690;430;270;90;;;270;270
25;17;RB2;RB11;0;600;525;650;620;731;304;844;484;7a - электрод расположен на  верхней трети латерально-дорсальной части бедра на латеральной широкой мышце бедра (m.vastus lateralis);7a - the electrode is located on the upper third of the lateral-dorsal part of the femur on the lateral wide femoral muscle (m.vastus lateralis);304;169;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);304;360;m.vastus lateralis dextra;608;339;;;;;650;270;750;430;270;150;;;270;320
26;5;RB12;RB11;0;665;500;650;620;855;214;844;473;6a - электрод расположен в области брюшка большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности бедра на 3 см латеральнее и ниже лобковой кости;6a - the electrode is located in the abdomen of the large femoral muscle (venter m.adductor magnus) from the inner surface of the thigh 3 cm lateral and below the pubic bone;304;113;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);304;338;m.adductor longus femorale dextra;608;288;;;;;760;190;750;420;270;100;540;301;270;300
27;1;RB9;RB10;0;610;700;625;805;596;68;630;405;8a - электрод расположен  на брюшке передней большеберцовой мышцы (venter m.tibialis anterior) на 1 - 1,5 см латеральнее средней линии голени и на 2 - 3 см ниже надколенника;8a - the electrode is located on the abdomen of the anterior tibial muscle (venter m.tibialis anterior) 1 to 1.5 cm lateral to the midline of the tibia and 2 to 3 cm below the patella;304;101;8b - электрод расположен  в  месте перехода дистальной части передней большеберцовой мышцы (m.tibialis anterior) в сухожилие в нижней 1/3 голени по средней линии;8b - the electrode is located at the junction of the distal part of the anterior tibialis muscle (m.tibialis anterior) in the tendon in the lower 1/3 tibia along the midline;304;304;m.tibialis anterior;;;;;;;530;60;560;360;270;90;540;256;270;270
28;17;RB8;RB3;1;290;380;355;485;56;56;315;450;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;56;90;6d - электрод расположен в области крепления сухожилия средней ягодичной мышцы (tendo m.glutei medii) к большому вертелу бедренной кости (trochanter major);6d - the electrode is located in the area of attachment of the tendon of the middle gluteus muscle (tendo m.glutei medii) to the large trochanter major (trochanter major);304;315;m.gluteus maximus dextra;;;;;;;50;50;280;400;50;80;;;270;280
29;5;RB7;RB1;1;320;375;305;500;225;68;158;439;6c - электрод расположен в месте крепления средней ягодичной мышцы (m.gluteus medius) к подвздошной кости по средней линии латеральной поверхности бедра на 2 - 3 см ниже гребня подвздошной кости;6c - the electrode is located at the site of attachment of the middle gluteus muscle (m.gluteus medius) to the ilium along the midline of the lateral surface of the thigh 2 to 3 cm below the crest of the ilium;225;101;7c - электрод расположен в области брюшка длинной головки двуглавой мышцы бедра (venter caput longum m.biceps femori), брюшка полусухожильной мышцы (venter m.semitendinosus) на 2 - 3 см ниже ягодичной складки;7c - the electrode is located in the abdomen of the long head of the biceps femoris (venter caput longum m.biceps femori), the abdomen of the semitendinous muscle (venter m.semitendinosus) 2 to 3 cm below the gluteus fold;180;326;m.gluteus medius dextra;;;;;;;200;60;140;390;200;90;;;160;290
